TIME,TEMP,HUM,SOIL,PUMP,FAN,LED
2026-05-23 20:31:03.620706,24.0,69.0,100,0,0,0
2026-05-23 20:31:04.643740,24.0,69.0,100,0,0,0
2026-05-23 20:31:05.731020,24.0,69.0,100,0,0,0
2026-05-23 20:31:06.732906,24.0,69.0,100,0,0,0
2026-05-23 20:31:07.734245,24.0,69.0,100,0,71,0
2026-05-23 20:31:08.798036,24.0,69.0,100,0,303,0
2026-05-23 20:31:09.774191,24.0,69.0,100,0,412,0
2026-05-23 20:31:10.883506,24.0,69.0,100,0,567,0
2026-05-23 20:31:11.740848,24.0,69.0,100,0,684,0
2026-05-23 20:31:12.741796,24.0,69.0,100,0,0,0
2026-05-23 20:31:13.742222,24.0,69.0,100,0,0,0
2026-05-23 20:31:14.848877,24.0,69.0,100,0,0,0
2026-05-23 20:31:15.799211,24.0,67.0,100,0,0,0
2026-05-23 20:31:16.809532,24.0,67.0,100,0,0,0
2026-05-23 20:31:17.806115,24.0,66.0,100,0,0,0
2026-05-23 20:31:18.818848,24.0,66.0,100,0,0,0
2026-05-23 20:31:19.825530,24.0,66.0,100,0,0,0
2026-05-23 20:31:20.826101,23.0,66.0,100,0,0,0
2026-05-23 20:31:21.826146,24.0,64.0,100,0,0,0
2026-05-23 20:31:22.885813,23.0,64.0,100,0,0,0
2026-05-23 20:31:23.885047,23.0,64.0,100,0,0,0
2026-05-23 20:31:24.948383,23.0,64.0,100,0,0,0
2026-05-23 20:31:25.951037,23.0,64.0,100,0,0,0
2026-05-23 20:31:27.028697,23.0,64.0,100,0,0,0
2026-05-23 20:31:28.031624,23.0,64.0,100,0,0,0
2026-05-23 20:31:29.083158,23.0,64.0,100,0,0,0
2026-05-23 20:31:30.092293,23.0,64.0,100,0,0,0
2026-05-23 20:31:31.142766,23.0,64.0,100,0,0,0
2026-05-23 20:31:32.142801,23.0,64.0,100,0,0,0
2026-05-23 20:31:33.212329,23.0,64.0,100,0,0,0
2026-05-23 20:31:34.211382,23.0,64.0,100,0,0,0
2026-05-23 20:31:35.280367,23.0,64.0,100,0,0,0
2026-05-23 20:31:36.316280,23.0,63.0,100,0,0,0
2026-05-23 20:31:37.339280,23.0,63.0,100,0,0,0
2026-05-23 20:31:38.483446,23.0,63.0,100,0,746,0
2026-05-23 20:31:39.343397,23.0,64.0,100,0,901,0
2026-05-23 20:31:40.519657,23.0,63.0,100,0,660,0
2026-05-23 20:31:41.631329,23.0,63.0,100,0,86,0
2026-05-23 20:31:42.355418,23.0,63.0,100,0,0,0
2026-05-23 20:31:43.441080,23.0,63.0,100,0,0,0
2026-05-23 20:31:44.412352,23.0,63.0,100,0,0,0
